"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Markieff Morris","Dal","F","34.3","6","9.4","20.3","18.5","0","0","8","0.25","14","0.357","0.432","0.432","3.2","1.5","0.7","0.3","0.2","0.8","4.7","3.8","5.3","6.4","84.5","111.9"
"","Vasilije Micic","Okc","G","29.9","9","12.7","15.7","25.4","6","0.667","12","0.417","17","0.294","0.431","0.458","3.2","0.6","3","0.2","0","1.1","3.8","6.2","6.8","5.6","97.5","115.4"
"","Chimezie Metu","Pho","F-C","26.7","12","8.5","15.7","8.7","6","0.833","18","0.667","13","0.231","0.532","0.565","3.2","1.6","0.4","0.3","0.4","0.3","4.8","3.6","5.2","6","113.7","102.2"
"","Armoni Brooks","Bro","G","25.5","6","8.2","16.4","5.3","0","0","5","0.4","13","0.385","0.528","0.528","3.2","1.7","0.2","0","0","0.2","4.8","3.3","5","5","109.8","117.8"
"","Jaxson Hayes","Lal","C-F","23.6","20","11.5","11.6","26.8","22","0.545","34","0.735","4","0","0.658","0.65","3.1","1.7","0.4","0.3","0.5","0.7","4.8","3.5","5.2","4.5","104.8","97"
"","Johnny Davis","Was","G","21.8","14","9.1","15.5","11","5","0.8","37","0.486","3","0.333","0.488","0.509","3.1","1.4","0.4","0.5","0.1","0.4","4.4","3.4","4.8","5.3","102.5","118.2"
"","Patty Mills","Atl","G","35.3","2","0","0","0","0","0","2","0","4","0.5","0.5","0.5","3","1","1","0.5","0.5","0","4","4","5","0","0","0"
"","Robert Covington","Lac","F","33","3","23.1","6.2","0","2","0.5","1","1","8","0.25","0.444","0.455","3","2.7","2.3","2","0.7","0","5.7","5.3","8","4.6","129.7","103.3"
"","Joe Harris","Det","G-F","32.3","8","12.7","12","10.3","0","0","7","0.429","19","0.316","0.462","0.462","3","0.9","0.8","0.3","0.1","0.4","3.9","3.8","4.6","4.1","97","112.6"
"","Moses Brown","Por","C","24.2","4","7.5","19.5","7.7","2","0","12","0.5","0","0","0.5","0.466","3","4.3","0.3","0.3","0.3","0.3","7.3","3.3","7.5","8.4","109.8","105.9"
"","Caleb Houstan","Orl","G","20.9","14","9.4","10.8","9.2","4","1","2","0.5","27","0.444","0.655","0.683","3","1.4","0.4","0.1","0","0.2","4.4","3.4","4.9","5.1","132.2","105.2"
"","Moussa Diabate","Lac","F","21.9","9","6.1","19.9","9.8","12","0.75","18","0.5","0","0","0.5","0.58","3","2.2","0.4","0.4","0","0.2","5.2","3.4","5.7","9.1","136.2","107.1"
"","Trayce Jackson-Davis","Gol","F","23.8","13","7.9","15.8","21.2","25","0.6","22","0.545","0","0","0.545","0.591","3","1.8","0.5","0.2","0.5","0.5","4.8","3.5","5.2","7.1","117.2","99.9"
"","Lindy Waters III","Okc","F","26.4","9","7.8","13.6","0","0","0","1","1","21","0.381","0.591","0.591","2.9","0.7","0.7","0","0.1","0","3.6","3.6","4.2","5.8","129.6","111.4"
"","Dalano Banton","Bos","F","24.1","11","8.3","16.4","15.4","6","0.833","20","0.6","7","0.143","0.5","0.54","2.9","2.3","0.5","0.2","0.2","0.5","5.2","3.4","5.6","7.2","112.8","99"
"","Colby Jones","Sac","G","21.5","10","7.1","19.8","12.4","3","0.667","20","0.6","8","0.125","0.482","0.495","2.9","1.4","0.2","0.2","0.1","0.4","4.3","3.1","4.5","5.3","97.9","104.6"
"","Tristan Thompson","Cle","C-F","32.8","18","10.2","11.5","21.9","17","0.412","32","0.688","0","0","0.688","0.646","2.8","3.1","0.7","0.1","0.4","0.5","5.9","3.6","6.7","7.2","125.1","106.4"
"","Richaun Holmes","Dal","F","30.2","11","10.5","13.6","21.8","12","0.417","25","0.52","0","0","0.52","0.512","2.8","3.5","0.5","0.1","0.5","0.6","6.4","3.3","6.8","6.5","107","102.1"
"","Dereon Seabron","Nor","G","23.5","5","10.5","12.7","0","6","0.833","11","0.273","2","0.5","0.346","0.448","2.8","1.4","0.8","0.4","0.2","0","4.2","3.6","5","5.6","111.7","109.7"
"","Jalen Hood-Schifino","Lal","G","20.5","5","10.6","21.6","18","10","0.5","10","0.3","8","0.125","0.25","0.313","2.8","1.2","0.8","0","0.2","0.8","4","3.6","4.8","5.2","66.4","102.7"
"","Olivier-Maxence Prosper","Dal","F","21.4","12","9.2","13.5","3.4","14","0.643","9","0.556","19","0.263","0.446","0.498","2.8","1.7","0.7","0.1","0.1","0.1","4.5","3.5","5.2","6.5","117.4","112"
"","Ben Sheppard","Ind","G","22.4","9","6.6","16.5","4.3","2","1","7","0.571","15","0.333","0.523","0.546","2.8","0.6","0.6","0.1","0","0.1","3.3","3.3","3.9","6.1","116.8","116.9"
"","Nicolas Batum","Lac","G-F","35","3","18","7.2","11.1","0","0","1","1","7","0.286","0.5","0.5","2.7","2.3","1.7","1","1.3","0.3","5","4.3","6.7","4.9","112.4","104.5"
"","Devonte' Graham","San","G","28.8","3","11.9","13.2","21.4","5","0.8","3","0.667","4","0","0.286","0.435","2.7","0.7","3.7","0.7","0.3","0.7","3.3","6.3","7","6.4","114","118.2"
"","Anthony Gill","Was","F","31.2","13","6.4","20.9","25.5","14","0.786","22","0.545","4","0","0.462","0.544","2.7","1.5","0.4","0.2","0.3","0.7","4.2","3.1","4.6","7.3","99.4","115.3"
"","Luka Garza","Min","C","25","5","3.2","42.2","8.1","8","0.625","9","0.444","2","0","0.364","0.448","2.6","1.2","0.2","0","0","0.2","3.8","2.8","4","10.7","0","0"
"","Jared Rhoden","Det","G","24.3","5","5.9","16.8","17.5","2","1","5","0.8","4","0.25","0.611","0.658","2.6","0.8","0.6","0","0","0.4","3.4","3.2","4","7.3","119.2","110.5"
"","Kenneth Lofton Jr.","Mem","F","21.3","15","6.6","21.4","13.9","15","0.533","27","0.407","10","0.3","0.419","0.447","2.6","1","0.9","0.2","0.2","0.4","3.6","3.5","4.5","8","95.4","101.1"
"","Wesley Matthews","Atl","G","37.2","12","11.2","11.1","13.2","15","0.733","4","0.5","22","0.227","0.365","0.46","2.5","1.3","0.7","0.5","0.1","0.3","3.8","3.2","4.5","4.7","103.9","112.1"
"","Alex Len","Sac","C","30.5","6","6.8","13.5","19.6","7","0.429","7","0.857","1","0","0.75","0.677","2.5","2.7","0.8","0.2","0.8","0.3","5.2","3.3","6","10.3","139.1","111.9"
"","Otto Porter Jr.","Tor","F","30.5","11","11.9","9.2","7","1","1","7","0.429","19","0.368","0.519","0.53","2.5","2.2","0.3","0.4","0.4","0.2","4.7","2.8","5","4","112.8","107.9"
"","Saben Lee","Pho","G","24.5","4","2.8","30.3","0","2","1","6","0.667","1","0","0.571","0.635","2.5","0.8","0.8","0","0.3","0","3.3","3.3","4","16.7","0","0"
"","AJ Griffin","Atl","F","20.3","12","9.2","14.4","10.4","2","1","9","0.222","25","0.32","0.412","0.43","2.5","1","0.3","0.1","0","0.3","3.5","2.8","3.8","4","91.2","120.2"
"","Lester Quinones","Gol","G","23.1","2","0","0","0","0","0","2","0.5","4","0.25","0.417","0.417","2.5","0","0","0","0","0","2.5","2.5","2.5","0","0","0"
"","Jordan Miller","Lac","G","23.9","2","0","0","0","0","0","2","0.5","1","1","0.833","0.833","2.5","0","0","0","0","0","2.5","2.5","2.5","0","0","0"
"","Sandro Mamukelashvili","San","F-C","24.6","8","7.3","14","11.5","6","0.833","8","0.5","7","0.286","0.467","0.539","2.4","1.8","1","0.3","0.1","0.3","4.1","3.4","5.1","8.9","124.2","105.7"
"","Olivier Sarr","Okc","C","24.8","5","10.8","8.5","24.1","6","0.667","3","0.333","3","0.667","0.667","0.694","2.4","4","0.2","0","1","0.4","6.4","2.6","6.6","4.6","130.4","91.3"
"","Kris Murray","Por","F","23.3","12","10.7","11","3.2","5","0.6","11","0.364","19","0.316","0.433","0.45","2.4","1.5","0.3","0.7","0.1","0.1","3.9","2.8","4.3","3.8","105.3","109.6"
"","Jalen Pickett","Den","G","24.1","11","6.8","15.5","22.7","2","1","6","0.667","14","0.357","0.575","0.599","2.3","0.9","0.6","0.3","0","0.5","3.2","2.9","3.8","6.3","101.3","107.8"
"","Nate Hinton","Hou","G-F","24.5","4","4.1","16","0","0","0","3","0","3","1","0.75","0.75","2.3","0.8","0","0","0","0","3","2.3","3","0","144.9","101"
"","Garrett Temple","Tor","G-F","37.6","5","3.3","15.1","0","2","1","4","0.75","1","1","0.9","0.935","2.2","0.4","0.4","0.2","0","0","2.6","2.6","3","8.6","0","0"
"","Furkan Korkmaz","Phi","G-F","26.4","15","7.5","15.3","18.7","9","0.778","15","0.467","15","0.267","0.433","0.486","2.2","0.5","0.5","0.7","0","0.5","2.7","2.7","3.3","4.4","94.2","108.7"
"","Jalen McDaniels","Tor","F-C","25.9","15","9.2","16.1","11.4","2","1","24","0.375","22","0.182","0.326","0.341","2.1","1.2","0.6","0.3","0.2","0.4","3.3","2.7","3.9","5","77.6","108.4"
"","P.J. Tucker","Phi","F","38.6","3","22.1","4.4","28.6","0","0","0","0","5","0.4","0.6","0.6","2","4.7","0","1","0.7","0.7","6.7","2","6.7","0","88.3","100.3"
"","Cory Joseph","Gol","G","32.3","11","11","12.4","15","7","0.571","9","0.333","19","0.211","0.321","0.354","2","0.9","2.2","0.3","0.1","0.5","2.9","4.2","5.1","5.8","99.3","111.4"
"","Evan Fournier","Nyk","G-F","31.1","1","0","0","0","0","0","2","0.5","4","0","0.167","0.167","2","1","1","1","0","0","3","3","4","0","0","0"
"","Daniel Theis","Ind","F-C","31.7","1","0","0","0","0","0","3","0.333","1","0","0.25","0.25","2","0","0","0","0","0","2","2","2","0","0","0"
"","Svi Mykhailiuk","Bos","G-F","26.5","8","7.4","15.3","19","0","0","3","0.667","14","0.286","0.471","0.471","2","0.6","0.1","0.4","0","0.5","2.6","2.1","2.8","2.7","80.8","107.4"
"","Ty Jerome","Cle","G-F","26.4","2","0","0","0","0","0","3","0.667","1","0","0.5","0.5","2","0.5","1.5","0","0","0","2.5","3.5","4","0","0","0"
"","Trent Forrest","Atl","G","25.5","5","8.7","11.9","17.5","4","1","9","0.333","0","0","0.333","0.465","2","0.4","1.6","0","0","0.4","2.4","3.6","4","5","115.8","119.4"
"","Gui Santos","Gol","F","21.5","2","0","0","0","0","0","3","0.667","1","0","0.5","0.5","2","2","0.5","0","0","0","4","2.5","4.5","0","0","0"
"","Colin Castleton","Lal","C","23.5","3","7.5","11.3","0","2","1","5","0.4","0","0","0.4","0.51","2","2","0.7","0","0","0","4","2.7","4.7","7.5","137.7","92.3"
"","Patrick Baldwin","Was","F","21.1","5","6.3","14.5","0","2","1","6","0.167","4","0.5","0.4","0.46","2","1.8","0.4","0","0.2","0","3.8","2.4","4.2","7.2","112.4","114.9"
"","Collin Gillespie","Den","G","24.5","10","8.1","12.4","17.1","1","1","7","0.714","12","0.25","0.5","0.514","2","0.3","0.8","0.5","0","0.4","2.3","2.8","3.1","3.9","98.8","107.2"
"","Amari Bailey","Cha","G","19.8","1","0","0","0","0","0","3","0.333","0","0","0.333","0.333","2","2","0","0","0","0","4","2","4","0","0","0"
"","Andre Jackson Jr.","Mil","G","22.1","17","7.7","9.8","26.7","0","0","11","0.727","11","0.545","0.773","0.773","2","1.2","0.6","0.3","0","0.5","3.2","2.6","3.8","5.9","129.6","102"
"","Markquis Nowell","Tor","G","24","1","0","0","0","2","1","1","0","0","0","0","0.532","2","2","2","1","0","0","4","4","6","0","0","0"
"","Dexter Dennis","Dal","G","24.8","2","0","0","0","1","0","3","0.667","3","0","0.333","0.311","2","1","0","0","0","0","3","2","3","0","0","0"
"","Miles McBride","Nyk","G","23.3","14","4.8","13.3","0","2","0.5","5","0.8","15","0.4","0.65","0.647","1.9","0.2","0.4","0.3","0","0","2.1","2.4","2.6","4.4","146.2","104.4"
"","Jock Landale","Hou","C","28.1","13","8.7","13.9","23.2","4","1","16","0.438","10","0.2","0.385","0.432","1.8","1.8","0.6","0.3","0.2","0.6","3.6","2.5","4.2","5.7","90.9","103.4"
"","Kobe Brown","Lac","F","23.9","13","9.3","11","3.3","2","0.5","10","0.4","19","0.263","0.397","0.402","1.8","1.6","0.5","0.1","0.2","0.1","3.5","2.4","4","4.9","100","97"
"","Cody Zeller","Nor","F-C","31.2","19","9.7","11.5","15.3","24","0.542","32","0.313","1","0","0.303","0.379","1.7","3","1","0.2","0.1","0.3","4.7","2.7","5.7","7.1","105.9","103.2"
"","Reggie Bullock Jr.","Hou","G-F","32.7","9","9.2","9.3","11.5","1","1","2","0.5","13","0.308","0.467","0.486","1.7","1.4","0.3","0.1","0.1","0.2","3.1","2","3.4","3.9","100","104"
"","Jamaree Bouyea","Por","G","24.5","6","9.5","21.5","27.6","0","0","13","0.385","8","0","0.238","0.238","1.7","1.7","1.3","0","0","1.3","3.3","3","4.7","6.5","54.9","114.7"
"","Josh Minott","Min","F","21","10","2.5","26.4","0","5","0.6","8","0.875","5","0","0.538","0.559","1.7","0.3","0.1","0","0.1","0","2","1.8","2.1","5.9","0","0"
"","Emoni Bates","Cle","F","19.9","7","7.5","14","6.2","2","0.5","3","0.333","12","0.25","0.367","0.378","1.7","1.3","0.3","0.1","0.1","0.1","3","2","3.3","4.7","85.3","111.8"
"","Chris Livingston","Mil","F","20.2","3","4","14.3","25","0","0","2","0.5","1","1","0.833","0.833","1.7","0.7","0.3","0.3","0","0.3","2.3","2","2.7","7.1","131","118.6"
"","Oshae Brissett","Bos","F-G","25.5","9","10","11.7","10.4","12","0.583","8","0.25","9","0.111","0.206","0.314","1.6","2.3","0.3","0.4","0","0.2","3.9","1.9","4.2","4.1","89.9","101.8"
"","Garrison Mathews","Atl","G","27.1","10","7.4","10.5","10.5","0","0","0","0","17","0.294","0.441","0.441","1.5","0.9","0.2","0.3","0","0.2","2.4","1.7","2.6","3.5","94.6","112.7"
"","Filip Petrusev","Sac","C","23.7","2","0","0","0","2","0.5","2","0.5","0","0","0.5","0.521","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Lamar Stevens","Bos","F","26.4","6","3.4","21.4","30","0","0","6","0.5","1","1","0.643","0.643","1.5","1","0.3","0.2","0.2","0.5","2.5","1.8","2.8","9","0","0"
"","TyTy Washington Jr.","Mil","G","22.1","2","0","0","0","0","0","1","0","2","0.5","0.5","0.5","1.5","0.5","0","0.5","0","0","2","1.5","2","0","0","0"
"","D'Moi Hodge","Lal","G","25","6","5.5","18","7.6","2","0.5","2","0.5","10","0.2","0.333","0.349","1.5","0","0.3","0.2","0.2","0.2","1.5","1.8","1.8","0","75","104.9"
"","Bruno Fernando","Atl","F-C","25.3","5","3.2","34.1","29.8","1","1","8","0.375","1","0","0.333","0.371","1.4","0.8","0","0","0","0.8","2.2","1.4","2.2","0","0","0"
"","Jordan Ford","Sac","G","25.5","5","2.7","18.2","0","2","1","3","0.333","2","0.5","0.5","0.595","1.4","0.2","0.2","0","0","0","1.6","1.6","1.8","5.7","0","0"
"","Blake Wesley","San","G","20.7","5","4.8","17.1","10.8","2","0.5","7","0.429","1","0","0.375","0.394","1.4","0.4","1","0","0.2","0.2","1.8","2.4","2.8","6.9","98.8","113.7"
"","Thaddeus Young","Tor","F","35.5","3","3.3","25","20","2","0","4","0.5","0","0","0.5","0.41","1.3","1","1","0","0","0.3","2.3","2.3","3.3","13.2","0","0"
"","Jordan McLaughlin","Min","G","27.7","6","4.5","9.4","0","2","1","2","0","3","0.667","0.6","0.68","1.3","0","1","0.2","0.3","0","1.3","2.3","2.3","0","168.1","106.7"
"","Chuma Okeke","Orl","F","25.3","10","5","14.4","17.6","0","0","4","0.5","10","0.3","0.464","0.464","1.3","1.1","0.3","0.1","0","0.3","2.4","1.6","2.7","6","93.1","112.9"
"","Daishen Nix","Min","G","21.8","6","3.5","18.2","0","2","0","3","0.333","5","0.4","0.5","0.45","1.3","0.2","0","0.2","0","0","1.5","1.3","1.5","0","0","0"
"","E.J. Liddell","Nor","F","23","3","2.9","29.1","18.4","2","1","1","1","3","0","0.25","0.41","1.3","0.7","0","0","0.3","0.3","2","1.3","2","0","0","0"
"","Dalen Terry","Chi","F","21.4","8","4.7","15","8.3","2","0","5","0.4","6","0.333","0.455","0.421","1.3","1.3","0.6","0","0.3","0.1","2.5","1.9","3.1","8.6","102.9","107.6"
"","Jett Howard","Orl","G","20.2","6","4.7","22.1","14.1","2","0.5","3","0.667","9","0.111","0.292","0.311","1.3","0.5","0.5","0","0","0.3","1.8","1.8","2.3","5.9","72.2","112.7"
"","Leaky Black","Cha","F","24.5","4","4.3","12.3","0","0","0","3","0.333","2","0.5","0.5","0.5","1.3","0.5","0.3","0.3","0.5","0","1.8","1.5","2","5.4","112.7","117.5"
"","P.J. Tucker","Lac","F","38.6","12","14.4","4.3","12.2","3","1","3","0.333","11","0.273","0.393","0.457","1.2","2.4","0.7","0.5","0.1","0.2","3.6","1.8","4.3","3.5","131.6","101"
"","Amir Coffey","Lac","G-F","26.5","10","5.8","11.7","13.9","4","1","9","0.444","3","0","0.333","0.436","1.2","0.7","0.3","0.1","0","0.2","1.9","1.5","2.2","4.4","96.8","108.9"
"","Admiral Schofield","Orl","F","26.7","6","3.7","24.6","25","2","0","3","0.667","6","0.167","0.389","0.354","1.2","0.5","0.2","0","0","0.5","1.7","1.3","1.8","5.3","0","0"
"","KJ Martin","Phi","F","22.9","10","6","12.5","18.5","4","0.5","12","0.417","1","0","0.385","0.407","1.2","1","0.4","0.3","0","0.3","2.2","1.6","2.6","5.2","87.2","94.9"
"","Jermaine Samuels Jr.","Hou","F","25.1","5","5.7","7.5","0","2","1","2","1","2","0","0.5","0.615","1.2","1.4","0.4","0","0.2","0","2.6","1.6","3","6.1","148.4","100.1"
"","Justin Minaya","Por","F","24.7","6","6.4","8.7","13.9","2","0.5","2","0","4","0.5","0.5","0.509","1.2","0.8","0","0","0.2","0.2","2","1.2","2","0","109.7","118.5"
"","Kessler Edwards","Sac","F","23.3","16","5.9","10.3","4.5","2","0.5","7","0.286","14","0.286","0.381","0.388","1.1","0.9","0.3","0.1","0.1","0.1","2","1.4","2.3","4.5","96.2","109.5"
"","Dominick Barlow","San","F","20.5","7","5","10.5","0","4","0.5","7","0.429","0","0","0.429","0.457","1.1","0.7","0","0.1","0","0","1.9","1.1","1.9","0","95.2","116.6"
"","Thanasis Antetokounmpo","Mil","F","31.4","8","5.9","11.8","30.8","0","0","9","0.444","0","0","0.444","0.444","1","0.6","0.5","0.3","0.1","0.5","1.6","1.5","2.1","4.5","87.4","106.4"
"","Udoka Azubuike","Pho","C-F","24.2","2","0","0","0","0","0","1","1","0","0","1","1","1","2","0","0","0","0","3","1","3","0","0","0"
"","DaQuan Jeffries","Nyk","G-F","26.3","7","2.7","22.2","11.1","2","0","4","0.5","4","0.25","0.438","0.394","1","0.4","0.1","0","0","0.1","1.4","1.1","1.6","5.1","0","0"
"","Dylan Windler","Nyk","G-F","27.2","3","2.5","11.5","0","0","0","0","0","2","0.5","0.75","0.75","1","0.3","0.3","0","0","0","1.3","1.3","1.7","7.2","0","0"
"","Isaiah Mobley","Cle","F","24.2","2","0","0","0","0","0","2","0.5","1","0","0.333","0.333","1","1","1.5","0.5","0","0","2","2.5","3.5","0","0","0"
"","Jay Huff","Den","C","26.3","2","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0"
"","Dariq Whitehead","Bro","F","19.4","1","0","0","0","2","0.5","0","0","0","0","0","0.568","1","0","0","0","1","0","1","1","1","0","0","0"
"","Alex Fudge","Lal","F","20.6","4","3.6","23.4","13.4","2","1","4","0.25","2","0","0.167","0.291","1","0.5","0","0","0","0.3","1.5","1","1.5","0","0","0"
"","Jarred Vanderbilt","Lal","F","24.7","3","19.6","5.8","13.9","2","0.5","2","0.5","4","0","0.167","0.218","1","5","1.3","0.3","0.3","0.3","6","2.3","7.3","3.8","95.8","108.1"
"","Jules Bernard","Was","G","23.9","2","0","0","0","0","0","2","0.5","3","0","0.2","0.2","1","0.5","0.5","0","0","0","1.5","1.5","2","0","0","0"
"","Aleksej Pokusevski","Okc","F","22","7","6.1","14.9","21.1","2","0.5","3","0.333","8","0.125","0.227","0.253","0.9","1.1","0.7","0","0.1","0.4","2","1.6","2.7","5.8","69.4","105.3"
"","Damian Jones","Cle","C","28.5","11","4.9","10.4","32.7","2","0.5","8","0.5","0","0","0.5","0.507","0.8","1","0.3","0.1","0.2","0.4","1.8","1.1","2.1","5.1","91.3","108.4"
"","Julian Phillips","Chi","F","20.1","13","4.8","13.1","5.8","4","0.25","9","0.556","7","0","0.313","0.31","0.8","0.7","0.4","0.1","0","0.1","1.5","1.2","1.9","5.1","81.5","107.6"
"","Jalen Slawson","Sac","F","24.1","5","3.7","11.3","40","0","0","2","1","1","0","0.667","0.667","0.8","0.8","0.4","0","0.2","0.4","1.6","1.2","2","6.9","0","0"
"","Shaquille Harrison","Mem","G","30.2","3","2","14.2","0","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0","0","0.3","0","1.3","0.7","1.3","0","0","0"
"","Jericho Sims","Nyk","C","25.1","10","4.6","6.7","16.3","3","0.333","5","0.6","0","0","0.6","0.554","0.7","1.7","0.2","0","0","0.1","2.4","0.9","2.6","5.4","121.6","104.8"
"","Jalen Wilson","Bro","F","23.1","3","3.5","8","0","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0","0","0.3","0","1.3","0.7","1.3","0","0","0"
"","Leonard Miller","Min","F","20","3","2.1","14","0","0","0","2","0.5","0","0","0.5","0.5","0.7","2","0.3","0","0","0","2.7","1","3","14.3","0","0"
"","Rayan Rupert","Por","G-F","19.5","7","4.4","21.5","14.1","4","0.5","6","0","6","0.167","0.125","0.182","0.7","0.1","0.3","0.3","0","0.3","0.9","1","1.1","2.5","48.3","118.1"
"","Robin Lopez","Mil","C","35.7","4","3","10.4","41","2","1","0","0","1","0","0","0.532","0.5","0","0.3","0","0","0.3","0.5","0.8","0.8","0","0","0"
"","Bol Bol","Pho","C-F","24.1","4","1.9","17.1","66.7","0","0","1","1","0","0","1","1","0.5","0.3","0","0","0.3","0.5","0.8","0.5","0.8","0","0","0"
"","Braxton Key","Den","F","26.8","6","2.5","17","0","2","0.5","3","0.333","2","0","0.2","0.255","0.5","0.5","0.8","0","0","0","1","1.3","1.8","9.4","0","0"
"","Kobe Bufkin","Atl","G","20.2","2","0","0","0","2","0.5","2","0","1","0","0","0.129","0.5","1","0","0","0","0","1.5","0.5","1.5","0","0","0"
"","Terry Taylor","Chi","F","24.2","5","2.4","3.7","0","0","0","1","1","0","0","1","1","0.4","0.2","0","0.2","0","0","0.6","0.4","0.6","0","0","0"
"","Maxwell Lewis","Lal","F","21.4","11","4.8","11.5","35.7","0","0","6","0","3","0.333","0.167","0.167","0.3","0.3","0.3","0.2","0","0.5","0.5","0.5","0.8","2.5","39.2","112"
"","Hunter Tyson","Den","F","23.5","7","2.6","9.4","0","0","0","1","1","3","0","0.25","0.25","0.3","0.6","0.1","0","0","0","0.9","0.4","1","4","0","0"
"","Danny Green","Phi","G","36.5","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0.5","0.5","0","0","1","0.5","1.5","0","0","0"
"","Ryan Arcidiacono","Nyk","G","29.7","6","2.2","3.2","0","0","0","0","0","1","0","0","0","0","0.5","0.2","0.2","0","0","0.5","0.2","0.7","0","0","0"
"","Jerome Robinson","Gol","G","26.8","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Kaiser Gates","Nor","F","27.1","1","0","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Lindell Wigginton","Mil","G","25.7","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Marques Bolden","Mil","C","25.7","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","R.J. Hampton","Mia","G","22.8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Filip Petrusev","Phi","C","23.7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Malcolm Cazalon","Det","G","22.3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Ish Wainright","Por","F","29.2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Wendell Moore Jr.","Min","G","22.2","3","2.3","12.4","0","0","0","0","0","2","0","0","0","0","0.3","0.3","0","0","0","0.3","0.3","0.7","0","0","0"
"","Ron Harper Jr.","Tor","F","23.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"","Mouhamed Gueye","Atl","F","21.1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Sidy Cissoko","San","G","19.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","GG Jackson","Mem","F","19","3","2.2","32.8","20","0","0","2","0","2","0","0","0","0","1","0","0.3","0","0.3","1","0","1","0","0","0"
"","Brice Sensabaugh","Uta","F","20.1","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Noah Clowney","Bro","F","19.4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Keyontae Johnson","Okc","F","23.6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Onuralp Bitim","Chi","F","24.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Jacob Toppin","Nyk","F","23.6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"","Charlie Brown Jr.","Nyk","G","25.9","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Kendall Brown","Ind","G","20.6","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Isaiah Wong","Ind","G","22.9","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Oscar Tshiebwe","Ind","F-C","24","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"